wave-length (nm),A
339.78,-0.0845
340.159,-0.0845
340.537,-0.0845
340.915,0.0868
341.293,-0.0784
341.671,0.239
342.049,0.35
342.427,-0
342.805,-0.0798
343.183,-0.7653
343.561,-0.1993
343.939,-0.1133
344.317,-0
344.694,-0
345.072,-0.1292
345.45,-0
345.827,-0.4294
346.205,0.0577
346.583,0.5219
346.96,-1.2813
347.338,-0
347.715,-0.0675
348.092,-0
348.47,-0.0122
348.847,0.611
349.224,0.1513
349.601,1.5325
349.979,-0.2814
350.356,0.0492
350.733,-0
351.11,1.1688
351.487,-0.0431
351.864,0.3324
352.241,-1.4472
352.618,-0.5321
352.995,-0.706
353.372,-0.3698
353.748,-0
354.125,-0
354.502,-0
354.878,-0.03
355.255,0.5161
355.632,0.2036
356.008,-0.3068
356.385,-0.4321
356.761,-0.2331
357.137,-0.0558
357.514,0.0931
357.89,1.224
358.266,-0.8143
358.643,0.3271
359.019,0.7798
359.395,-0.9818
359.771,0.1003
360.147,0.3727
360.523,-0.3569
360.899,-0.0143
361.275,-0.6509
361.651,0.4447
362.027,-0.4972
362.403,-0.0979
362.779,0.7597
363.155,-0
363.53,0.3914
363.906,0.069
364.282,0.1502
364.657,0.0307
365.033,-0.2515
365.408,0.0658
365.784,-0.0135
366.159,-0.2843
366.535,-0.1211
366.91,0.2388
367.285,-0.0932
367.66,0.0256
368.036,-1.5128
368.411,-0.0134
368.786,-0.016
369.161,-0.0445
369.536,-0.0798
369.911,-0.3207
370.286,-0.9818
370.661,-0.0019
371.036,-0.1988
371.411,-0.6401
371.786,-0.1128
372.16,0.0185
372.535,-0.0492
372.91,-0.1531
373.285,-0.0589
373.659,0.1645
374.034,-0.1249
374.408,-0.0659
374.783,0.2915
375.157,0.0259
375.532,0.1973
375.906,-2.0808
376.28,0.0978
376.655,-0.0399
377.029,0.064
377.403,0.4274
377.777,-0.0937
378.151,-0.2383
378.525,0.3209
378.899,-0.0492
379.273,0.0881
379.647,-0.0262
380.021,-0.0018
380.395,-0.0594
380.769,-0.031
381.143,0.1496
381.517,-0.0466
381.89,-0.0124
382.264,-0.0895
382.638,-0.2558
383.011,-0.1873
383.385,0.0639
383.758,-0.0358
384.132,-0.1827
384.505,-0.1233
384.878,-0.0959
385.252,-0.0297
385.625,-0.0495
385.998,-0.0111
386.372,-0.2225
386.745,-0.0827
387.118,-0.0817
387.491,-0.0225
387.864,-0.0711
388.237,-0.0631
388.61,0.0906
388.983,-0.095
389.356,0.0563
389.729,-0.0157
390.101,0.1402
390.474,0.0505
390.847,-0.0062
391.219,0.1784
391.592,-0.1231
391.965,-0.1654
392.337,-0.0788
392.71,-0.0695
393.082,0.0098
393.455,0.0718
393.827,0.0191
394.199,0.0239
394.572,-0.0437
394.944,0.0323
395.316,0.0499
395.688,0.0635
396.06,-0.006
396.433,-0.2717
396.805,-0.2614
397.177,-0.0497
397.549,0.0118
397.92,-0.0026
398.292,0.0181
398.664,-0.1538
399.036,-0.0519
399.408,-0.0943
399.779,-0.0353
400.151,-0.0114
400.523,0.1197
400.894,0.0842
401.266,-0.097
401.637,0.0141
402.009,-0.002
402.38,0.0341
402.752,-0.035
403.123,0.0199
403.494,0.0782
403.866,-0.066
404.237,-0.0257
404.608,0.0029
404.979,-0.0668
405.35,-0.0413
405.721,0.0114
406.092,-0.066
406.463,-0.0384
406.834,-0.0151
407.205,-0.0275
407.576,-0.0524
407.947,-0.031
408.317,-0.1191
408.688,-0.0396
409.059,-0.0361
409.429,-0.0365
409.8,-0.0343
410.171,-0.016
410.541,-0.0103
410.912,0.007
411.282,0.0415
411.652,-0.017
412.023,-0.036
412.393,-0.0264
412.763,0.0164
413.133,-0.0847
413.504,-0.0282
413.874,-0.0062
414.244,-0.0091
414.614,-0.0479
414.984,-0.0369
415.354,0.0017
415.724,0.0192
416.094,-0.0145
416.463,-0.0308
416.833,-0.018
417.203,-0.0532
417.573,0.0487
417.942,-0.004
418.312,0.0125
418.682,-0.0263
419.051,-0.0328
419.421,0.0111
419.79,-0.0341
420.159,-0.0094
420.529,-0.0284
420.898,-0.0009
421.267,0.0052
421.637,-0.0116
422.006,-0.0221
422.375,-0.0164
422.744,-0.013
423.113,-0.0295
423.482,-0.024
423.851,-0.0281
424.22,-0.0568
424.589,-0.0166
424.958,-0.0406
425.327,0.0021
425.695,-0.0237
426.064,-0.0232
426.433,-0.0155
426.802,0.0058
427.17,-0.0215
427.539,-0.0241
427.907,-0.0143
428.276,-0.0312
428.644,-0.0032
429.013,-0.0473
429.381,-0.0311
429.749,-0.037
430.118,-0.0313
430.486,-0.0334
430.854,-0.05
431.222,-0.0249
431.59,-0.0321
431.958,-0.0077
432.326,-0.0165
432.694,-0.0281
433.062,-0.0159
433.43,-0.0489
433.798,-0.023
434.166,0.0043
434.533,-0.0339
434.901,-0.0361
435.269,-0.0461
435.636,-0.0682
436.004,-0.0378
436.372,-0.0188
436.739,0.0073
437.107,0.0004
437.474,-0.0167
437.841,-0.0324
438.209,-0.0033
438.576,-0.0019
438.943,-0.0356
439.31,0.0026
439.678,-0.0363
440.045,-0.0019
440.412,-0.0227
440.779,-0.0027
441.146,-0.0085
441.513,-0.0077
441.88,-0.0066
442.247,0.0071
442.613,-0.0295
442.98,-0.0133
443.347,-0.0107
443.714,-0.0221
444.08,0.0027
444.447,-0.0142
444.813,-0.0434
445.18,-0.011
445.546,-0.0191
445.913,0.0016
446.279,-0.0303
446.646,-0.0316
447.012,-0.0456
447.378,-0.0107
447.744,-0.0046
448.111,-0.0108
448.477,-0.0318
448.843,-0.0067
449.209,0.0241
449.575,-0.0273
449.941,-0.0238
450.307,-0.0177
450.673,-0.0226
451.039,-0.0038
451.404,0.0006
451.77,-0.0052
452.136,-0.0007
452.502,0.0073
452.867,-0.0101
453.233,0.0062
453.598,-0.0276
453.964,0.0052
454.329,-0.0072
454.695,-0.0094
455.06,0.0082
455.425,-0.0071
455.791,-0.0167
456.156,-0.0024
456.521,0.0081
456.886,-0.0221
457.251,-0.0158
457.616,-0.0065
457.981,-0.0042
458.346,-0.0135
458.711,-0.0059
459.076,-0.0044
459.441,-0.0066
459.806,-0.0065
460.171,-0.0115
460.535,0.0031
460.9,-0.001
461.265,-0.0229
461.629,0.0011
461.994,-0.0219
462.358,-0.0131
462.723,-0.0168
463.087,0.0221
463.452,-0.0036
463.816,0.0023
464.18,-0.002
464.544,0.0158
464.909,0.0004
465.273,-0.0157
465.637,0.004
466.001,-0.0023
466.365,-0
466.729,0.0073
467.093,-0.0076
467.457,0.005
467.821,-0.0113
468.185,-0.0167
468.548,-0.0011
468.912,0.0233
469.276,-0.0074
469.639,0.0017
470.003,-0.0268
470.367,-0.0212
470.73,-0.012
471.094,-0.0071
471.457,0.0054
471.82,-0.0085
472.184,0.0035
472.547,0.0086
472.91,-0.0113
473.274,-0.0077
473.637,-0.0022
474,0.0015
474.363,0.0057
474.726,-0.0083
475.089,0.0017
475.452,-0.0006
475.815,0.0158
476.178,0.016
476.54,0.0007
476.903,0.0078
477.266,0.0118
477.629,-0.007
477.991,0.0215
478.354,0.015
478.716,-0.0054
479.079,0.0064
479.441,0.0098
479.804,0.0088
480.166,0.0093
480.529,0.016
480.891,-0.0052
481.253,-0.0125
481.615,0.0041
481.978,-0.0028
482.34,0.0005
482.702,-0.0043
483.064,-0.0035
483.426,-0.003
483.788,0.0044
484.15,0.0118
484.512,0.0064
484.873,0.0037
485.235,0.009
485.597,-0.0072
485.959,0.0071
486.32,0.0012
486.682,0.0062
487.043,0.0119
487.405,-0.0047
487.766,-0.007
488.128,0.0036
488.489,-0.0021
488.85,0.0014
489.212,0.0053
489.573,-0.0059
489.934,-0.0015
490.295,0.0088
490.657,0.0084
491.018,-0.0034
491.379,0.0119
491.74,0.0041
492.101,0.0127
492.461,0.0091
492.822,-0.0064
493.183,0.0016
493.544,0.0122
493.905,0.0069
494.265,0.0116
494.626,0.0093
494.987,0.0103
495.347,0.0024
495.708,0.0033
496.068,0.0064
496.429,-0.0046
496.789,0.0066
497.149,0.0041
497.509,0.0186
497.87,0.0031
498.23,-0.0025
498.59,-0.0027
498.95,0.0166
499.31,0.022
499.67,0.0163
500.03,0.0174
500.39,0.0025
500.75,0.0037
501.11,0.0154
501.47,0.0083
501.83,0.0025
502.189,0.0038
502.549,0.0057
502.909,-0.0051
503.268,-0.0034
503.628,0.0023
503.987,0.0153
504.347,0.0135
504.706,0.0117
505.065,0.0222
505.425,0.014
505.784,0.0053
506.143,0.0106
506.502,0.0124
506.862,0.01
507.221,0.0026
507.58,-0.0017
507.939,-0.0006
508.298,0.0056
508.657,0.001
509.015,0.005
509.374,0.0093
509.733,0.01
510.092,0.0013
510.451,0.0048
510.809,0.0208
511.168,0.0237
511.526,0.0189
511.885,0.0073
512.243,0.0065
512.602,0.0125
512.96,0.0209
513.319,0.0051
513.677,0.0032
514.035,0.0134
514.393,0.0172
514.751,0.0116
515.11,0.0147
515.468,0.0108
515.826,0.0095
516.184,0.0141
516.542,0.0154
516.9,0.0077
517.257,0.0084
517.615,0.0071
517.973,0.0007
518.331,0.0153
518.688,0.0184
519.046,0.0049
519.404,0.0172
519.761,0.0129
520.119,0.0076
520.476,0.0096
520.834,0.0154
521.191,0.0156
521.548,0.0043
521.906,0.0032
522.263,-0.0001
522.62,0.0133
522.977,0.013
523.334,0.0039
523.691,0.0113
524.048,0.0094
524.405,0.0223
524.762,0.0246
525.119,0.0193
525.476,0.0137
525.833,0.0202
526.189,0.0201
526.546,0.0156
526.903,0.0095
527.259,0.0076
527.616,0.0088
527.973,0.01
528.329,0.0136
528.685,0.011
529.042,0.0084
529.398,0.016
529.755,0.022
530.111,0.0169
530.467,0.0074
530.823,0.0183
531.179,0.0128
531.535,0.0231
531.891,0.0098
532.247,0.0203
532.603,0.0229
532.959,0.0195
533.315,0.0215
533.671,0.023
534.027,0.0238
534.382,0.0326
534.738,0.0227
535.094,0.0197
535.449,0.0212
535.805,0.0249
536.16,0.0157
536.516,0.0211
536.871,0.0055
537.226,0.0097
537.582,0.0101
537.937,0.0155
538.292,0.0174
538.647,0.0223
539.003,0.0179
539.358,0.0346
539.713,0.0293
540.068,0.0238
540.423,0.0249
540.778,0.0331
541.132,0.0136
541.487,0.0194
541.842,0.013
542.197,0.0145
542.552,0.0147
542.906,0.0198
543.261,0.0141
543.615,0.0262
543.97,0.0299
544.324,0.0337
544.679,0.0353
545.033,0.0264
545.387,0.0289
545.742,0.0341
546.096,0.0359
546.45,0.0318
546.804,0.0308
547.158,0.0375
547.512,0.0347
547.866,0.0234
548.22,0.0212
548.574,0.0249
548.928,0.0265
549.282,0.0195
549.636,0.0305
549.99,0.0235
550.343,0.0334
550.697,0.0312
551.05,0.0312
551.404,0.0287
551.758,0.0279
552.111,0.0392
552.464,0.0378
552.818,0.0249
553.171,0.0387
553.524,0.0292
553.878,0.0336
554.231,0.0274
554.584,0.0469
554.937,0.0387
555.29,0.0378
555.643,0.0375
555.996,0.0431
556.349,0.0409
556.702,0.0406
557.055,0.0459
557.408,0.0461
557.76,0.0407
558.113,0.0503
558.466,0.0467
558.818,0.0472
559.171,0.04
559.523,0.0445
559.876,0.0468
560.228,0.0397
560.581,0.0485
560.933,0.0381
561.285,0.0495
561.638,0.0478
561.99,0.0452
562.342,0.049
562.694,0.0463
563.046,0.0557
563.398,0.0555
563.75,0.0539
564.102,0.0606
564.454,0.0479
564.806,0.0535
565.158,0.0569
565.509,0.0524
565.861,0.0506
566.213,0.0448
566.564,0.0544
566.916,0.0467
567.267,0.0551
567.619,0.0562
567.97,0.0597
568.322,0.0515
568.673,0.0549
569.024,0.0502
569.376,0.0614
569.727,0.0546
570.078,0.0546
570.429,0.0563
570.78,0.0642
571.131,0.0627
571.482,0.0693
571.833,0.0663
572.184,0.0668
572.535,0.0677
572.885,0.0623
573.236,0.0618
573.587,0.0718
573.938,0.0666
574.288,0.074
574.639,0.0671
574.989,0.0691
575.34,0.0744
575.69,0.0729
576.04,0.0741
576.391,0.0629
576.741,0.0762
577.091,0.0783
577.442,0.0759
577.792,0.0709
578.142,0.0695
578.492,0.0716
578.842,0.0777
579.192,0.0797
579.542,0.0861
579.892,0.0796
580.241,0.071
580.591,0.0779
580.941,0.0836
581.291,0.0923
581.64,0.0948
581.99,0.084
582.339,0.0815
582.689,0.09
583.038,0.0883
