wave-length (nm),A
339.78,-0.716
340.159,-0.716
340.537,-0.716
340.915,0.5715
341.293,-0.0413
341.671,-0.2487
342.049,0.3452
342.427,-0.4307
342.805,0.0751
343.183,-1.1569
343.561,1.4635
343.939,-0.5148
344.317,-0
344.694,-0.6287
345.072,-0.0397
345.45,-0
345.827,-0.4004
346.205,-0.3824
346.583,0.7504
346.96,-0.301
347.338,-0.2269
347.715,0.2443
348.092,-0
348.47,-0.3086
348.847,-0
349.224,-0.2339
349.601,-0
349.979,-0
350.356,0.2964
350.733,-0
351.11,0.0135
351.487,-0
351.864,-0
352.241,-0.5772
352.618,-0.4854
352.995,-0.301
353.372,-0.6933
353.748,-0
354.125,-0
354.502,-0
354.878,0.3352
355.255,-0
355.632,-0
356.008,1.0449
356.385,-0
356.761,0.035
357.137,-0
357.514,0.4906
357.89,1.0479
358.266,-0
358.643,0.487
359.019,-0
359.395,-0.1279
359.771,1.6261
360.147,2.0354
360.523,-0
360.899,0.0179
361.275,0.2759
361.651,0.1278
362.027,0.3283
362.403,-0
362.779,-0
363.155,-0
363.53,0.7686
363.906,0.5851
364.282,-0
364.657,0.4189
365.033,-0.0082
365.408,0.4632
365.784,0.5694
366.159,0.2489
366.535,0.6687
366.91,-0.029
367.285,0.0256
367.66,0.1593
368.036,-1.3955
368.411,0.1171
368.786,0.3492
369.161,0.2198
369.536,-0
369.911,-0.2197
370.286,-0
370.661,0.2566
371.036,0.64
371.411,-0.6006
371.786,0.0977
372.16,-0
372.535,-0
372.91,0.019
373.285,-0
373.659,0.2039
374.034,0.2922
374.408,-0
374.783,0.9369
375.157,-0
375.532,0.1292
375.906,-0
376.28,0.222
376.655,0.7293
377.029,0.4255
377.403,0.5509
377.777,1.0255
378.151,0.1371
378.525,-0
378.899,0.3428
379.273,0.5976
379.647,0.2581
380.021,0.2665
380.395,0.2968
380.769,0.4076
381.143,0.4982
381.517,0.1858
381.89,0.9181
382.264,0.8828
382.638,0.0515
383.011,0.4444
383.385,0.3137
383.758,1.4272
384.132,-0
384.505,0.146
384.878,0.188
385.252,0.1645
385.625,-0
385.998,1.5998
386.372,2.6479
386.745,0.1625
387.118,0.5324
387.491,0.1312
387.864,0.4096
388.237,0.3066
388.61,0.3523
388.983,0.7416
389.356,0.5736
389.729,0.5444
390.101,0.3106
390.474,0.3393
390.847,0.4044
391.219,0.3492
391.592,0.2774
391.965,0.4629
392.337,0.1391
392.71,0.6326
393.082,0.3799
393.455,0.3469
393.827,0.2373
394.199,0.2869
394.572,0.413
394.944,0.3235
395.316,0.3742
395.688,0.2729
396.06,0.2805
396.433,0.1351
396.805,0.1281
397.177,0.4648
397.549,0.2005
397.92,0.3198
398.292,0.4283
398.664,0.3287
399.036,0.4938
399.408,0.2783
399.779,0.3044
400.151,0.2394
400.523,0.3369
400.894,0.3442
401.266,0.5816
401.637,0.5941
402.009,0.2751
402.38,0.4063
402.752,0.3994
403.123,0.3341
403.494,0.6603
403.866,0.3546
404.237,0.3168
404.608,0.3753
404.979,0.2556
405.35,0.3734
405.721,0.444
406.092,0.3614
406.463,0.3193
406.834,0.2658
407.205,0.3838
407.576,0.3316
407.947,0.2383
408.317,0.186
408.688,0.2712
409.059,0.3449
409.429,0.2447
409.8,0.2518
410.171,0.343
410.541,0.2851
410.912,0.3038
411.282,0.3601
411.652,0.3966
412.023,0.2656
412.393,0.3578
412.763,0.3284
413.133,0.2091
413.504,0.2292
413.874,0.3316
414.244,0.359
414.614,0.2839
414.984,0.2533
415.354,0.3855
415.724,0.4212
416.094,0.3143
416.463,0.2706
416.833,0.3437
417.203,0.2562
417.573,0.28
417.942,0.3406
418.312,0.3513
418.682,0.2643
419.051,0.2754
419.421,0.3217
419.79,0.2934
420.159,0.3384
420.529,0.2849
420.898,0.3369
421.267,0.3036
421.637,0.3225
422.006,0.2777
422.375,0.3081
422.744,0.3315
423.113,0.2665
423.482,0.3232
423.851,0.332
424.22,0.2647
424.589,0.2554
424.958,0.2587
425.327,0.2799
425.695,0.2954
426.064,0.3571
426.433,0.3797
426.802,0.2766
427.17,0.2908
427.539,0.2804
427.907,0.2908
428.276,0.2708
428.644,0.287
429.013,0.3031
429.381,0.2546
429.749,0.2406
430.118,0.2816
430.486,0.3167
430.854,0.2993
431.222,0.303
431.59,0.2656
431.958,0.3485
432.326,0.2968
432.694,0.2616
433.062,0.2912
433.43,0.2921
433.798,0.3047
434.166,0.305
434.533,0.3127
434.901,0.2711
435.269,0.2442
435.636,0.2383
436.004,0.2821
436.372,0.232
436.739,0.298
437.107,0.3113
437.474,0.3073
437.841,0.2511
438.209,0.3169
438.576,0.3167
438.943,0.2717
439.31,0.3012
439.678,0.3224
440.045,0.3076
440.412,0.3107
440.779,0.326
441.146,0.2954
441.513,0.3287
441.88,0.304
442.247,0.3131
442.613,0.2995
442.98,0.3052
443.347,0.2712
443.714,0.2814
444.08,0.3108
444.447,0.2715
444.813,0.2838
445.18,0.3149
445.546,0.2662
445.913,0.2822
446.279,0.2804
446.646,0.2641
447.012,0.2807
447.378,0.302
447.744,0.2778
448.111,0.2756
448.477,0.3278
448.843,0.2975
449.209,0.2957
449.575,0.2799
449.941,0.3181
450.307,0.2605
450.673,0.3138
451.039,0.3154
451.404,0.3164
451.77,0.3032
452.136,0.3125
452.502,0.3131
452.867,0.2876
453.233,0.2764
453.598,0.2853
453.964,0.3102
454.329,0.3124
454.695,0.31
455.06,0.2991
455.425,0.3463
455.791,0.2848
456.156,0.3005
456.521,0.2891
456.886,0.2827
457.251,0.2897
457.616,0.2846
457.981,0.2776
458.346,0.2806
458.711,0.3027
459.076,0.2975
459.441,0.2757
459.806,0.3154
460.171,0.2907
460.535,0.2984
460.9,0.3049
461.265,0.2776
461.629,0.3259
461.994,0.2898
462.358,0.3064
462.723,0.2962
463.087,0.3211
463.452,0.2745
463.816,0.2827
464.18,0.2856
464.544,0.3115
464.909,0.3078
465.273,0.2659
465.637,0.2932
466.001,0.2902
466.365,0.2848
466.729,0.2933
467.093,0.2811
467.457,0.3092
467.821,0.3303
468.185,0.3262
468.548,0.2929
468.912,0.308
469.276,0.2892
469.639,0.2928
470.003,0.2539
470.367,0.2689
470.73,0.2941
471.094,0.3
471.457,0.31
471.82,0.2848
472.184,0.2928
472.547,0.3136
472.91,0.29
473.274,0.2971
473.637,0.2918
474,0.3034
474.363,0.2972
474.726,0.2792
475.089,0.3109
475.452,0.3135
475.815,0.3283
476.178,0.3188
476.54,0.2971
476.903,0.3014
477.266,0.3043
477.629,0.3006
477.991,0.2944
478.354,0.2921
478.716,0.2878
479.079,0.2968
479.441,0.323
479.804,0.3132
480.166,0.294
480.529,0.3044
480.891,0.2933
481.253,0.2849
481.615,0.3043
481.978,0.3118
482.34,0.3252
482.702,0.291
483.064,0.2962
483.426,0.2804
483.788,0.2969
484.15,0.3022
484.512,0.3036
484.873,0.299
485.235,0.303
485.597,0.3028
485.959,0.3047
486.32,0.2963
486.682,0.3103
487.043,0.2985
487.405,0.3055
487.766,0.2976
488.128,0.3082
488.489,0.2878
488.85,0.2968
489.212,0.3024
489.573,0.3082
489.934,0.2951
490.295,0.3069
490.657,0.2987
491.018,0.3046
491.379,0.3126
491.74,0.3039
492.101,0.3028
492.461,0.2988
492.822,0.2988
493.183,0.3096
493.544,0.3112
493.905,0.2913
494.265,0.2999
494.626,0.2967
494.987,0.3149
495.347,0.2972
495.708,0.2918
496.068,0.2979
496.429,0.2897
496.789,0.2974
497.149,0.3054
497.509,0.3195
497.87,0.3005
498.23,0.2974
498.59,0.2818
498.95,0.3014
499.31,0.3029
499.67,0.2937
500.03,0.2972
500.39,0.3034
500.75,0.2802
501.11,0.3037
501.47,0.3021
501.83,0.2951
502.189,0.3015
502.549,0.2932
502.909,0.2883
503.268,0.283
503.628,0.293
503.987,0.2988
504.347,0.3029
504.706,0.3131
505.065,0.3037
505.425,0.2982
505.784,0.2987
506.143,0.3124
506.502,0.2906
506.862,0.3085
507.221,0.3024
507.58,0.3
507.939,0.2965
508.298,0.3061
508.657,0.3086
509.015,0.3021
509.374,0.301
509.733,0.3165
510.092,0.3111
510.451,0.3109
510.809,0.3057
511.168,0.3149
511.526,0.3008
511.885,0.2904
512.243,0.3051
512.602,0.3057
512.96,0.314
513.319,0.2913
513.677,0.2951
514.035,0.3045
514.393,0.3045
514.751,0.3099
515.11,0.3025
515.468,0.2961
515.826,0.3012
516.184,0.3134
516.542,0.3001
516.9,0.2897
517.257,0.2995
517.615,0.3061
517.973,0.289
518.331,0.3056
518.688,0.3102
519.046,0.3004
519.404,0.3066
519.761,0.3
520.119,0.2989
520.476,0.2942
520.834,0.3022
521.191,0.299
521.548,0.3003
521.906,0.2952
522.263,0.3098
522.62,0.3016
522.977,0.3056
523.334,0.3094
523.691,0.3038
524.048,0.3063
524.405,0.3063
524.762,0.3033
525.119,0.312
525.476,0.3116
525.833,0.3125
526.189,0.3001
526.546,0.2958
526.903,0.2951
527.259,0.3024
527.616,0.2975
527.973,0.3018
528.329,0.2918
528.685,0.3039
529.042,0.2977
529.398,0.3082
529.755,0.311
530.111,0.3026
530.467,0.2964
530.823,0.3043
531.179,0.2993
