,X,X',D,D^2
2,17.26,15.09,2.17,4.7089
3,17.36,14.96,2.4,5.76
4,17.5,14.86,2.64,6.9696
5,17.65,14.73,2.92,8.5264
6,17.75,14.61,3.14,9.8596
7,17.9,14.54,3.36,11.2896
8,17.98,14.48,3.5,12.25
9,18.08,14.4,3.68,13.5424
10,18.17,14.31,3.86,14.8996
11,18.27,14.25,4.02,16.1604
12,18.32,14.19,4.13,17.0569
13,18.38,14.1,4.28,18.3184
14,18.43,14.03,4.4,19.36
15,18.48,13.94,4.54,20.6116
16,18.54,13.88,4.66,21.7156
17,18.6,13.81,4.79,22.9441
18,18.66,13.77,4.89,23.9121
19,18.78,13.73,5.05,25.5025
20,18.84,13.69,5.15,26.5225
21,18.92,13.66,5.26,27.6676
