D,I
01.00,0.2
01.25,0.1
01.50,0.2
01.75,0.2
02.00,0.2
02.25,0.2
02.50,0.3
02.75,0.3
03.00,0.4
03.25,0.6
03.50,0.3
03.75,0.3
04.00,0.4
04.25,0.5
04.50,0.7
04.75,0.6
05.00,0.7
05.25,0.5
05.50,0.6
05.75,0.6
06.00,0.6
06.25,0.6
06.50,0.7
06.75,0.6
07.00,1.1
07.25,0.8
07.50,1.2
07.75,1.4
08.00,1.5
08.25,1.2
08.50,1.3
08.75,1.4
09.00,2.2
09.25,1.8
09.50,2.4
09.75,3.5
10.00,6.3
10.25,5.0
10.50,5.9
10.75,4.8
11.00,16.0
11.25,35.7
11.50,74.8
11.75,33.0
12.00,35.1
12.25,61.2
12.50,141.8
12.75,0.4e3
13.00,1.3e3
13.25,1.0e3
13.50,128.0
13.75,0.3e3
14.00,0.9e3
14.25,3.0e3
14.50,7.8e3
14.75,9.5e3
15.00,1.8e3
15.25,0.3e3
15.50,115.0
15.75,0.3e3
16.00,0.7e3
16.25,1.1e3
16.50,0.4e3
16.75,53.1
17.00,31.8
17.25,26.1
17.50,31.6
17.75,65.6
18.00,47.3
18.25,8.7
18.50,6.0
18.75,4.1
19.00,3.5
19.25,4.1
19.50,3.6
19.75,2.2
20.00,1.3
20.25,1.0
20.50,0.7
20.75,0.5
21.00,0.5
21.25,0.3
21.50,0.2
21.75,0.3
22.00,0.3
22.25,0.5
22.50,0.2
22.75,0.2
23.00,0.1
23.25,0.1
23.50,0.1
23.75,0.1
24.00,0.1
